data,denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,nuovi_tamponi,nuovi_casi_testati,nuovi_deceduti
2020-02-24,Lazio,1,1,2,0,2,0,2,1,0,0.0,0.0,3,124,0.0,124,0.0,0
2020-02-25,Lazio,1,1,2,0,2,0,0,1,0,0.0,0.0,3,124,0.0,0,0.0,0
2020-02-26,Lazio,0,0,0,0,0,-2,0,3,0,0.0,0.0,3,124,0.0,0,0.0,0
2020-02-27,Lazio,0,0,0,0,0,0,0,3,0,0.0,0.0,3,552,0.0,428,0.0,0
2020-02-28,Lazio,0,0,0,0,0,0,0,3,0,0.0,0.0,3,611,0.0,59,0.0,0
2020-02-29,Lazio,3,0,3,0,3,3,3,3,0,0.0,0.0,6,679,0.0,68,0.0,0
2020-03-01,Lazio,3,0,3,0,3,0,0,3,0,0.0,0.0,6,724,0.0,45,0.0,0
2020-03-02,Lazio,3,0,3,1,4,1,1,3,0,0.0,0.0,7,773,0.0,49,0.0,0
2020-03-03,Lazio,10,0,10,1,11,7,7,3,0,0.0,0.0,14,877,0.0,104,0.0,0
2020-03-04,Lazio,15,3,18,9,27,16,16,3,0,0.0,0.0,30,995,0.0,118,0.0,0
2020-03-05,Lazio,20,7,27,14,41,14,14,3,0,0.0,0.0,44,1175,0.0,180,0.0,0
2020-03-06,Lazio,26,8,34,16,50,9,10,3,1,0.0,0.0,54,1373,0.0,198,0.0,1
2020-03-07,Lazio,43,8,51,21,72,22,22,3,1,0.0,0.0,76,1582,0.0,209,0.0,0
2020-03-08,Lazio,47,8,55,26,81,9,11,3,3,0.0,0.0,87,1929,0.0,347,0.0,2
2020-03-09,Lazio,55,8,63,31,94,13,15,3,5,0.0,0.0,102,1929,0.0,0,0.0,2
2020-03-10,Lazio,50,15,65,34,99,5,14,11,6,0.0,0.0,116,3591,0.0,1662,0.0,1
2020-03-11,Lazio,67,18,85,40,125,26,34,19,6,0.0,0.0,150,3591,0.0,0,0.0,0
2020-03-12,Lazio,85,20,105,67,172,47,50,19,9,0.0,0.0,200,5592,0.0,2001,0.0,3
2020-03-13,Lazio,122,24,146,96,242,70,77,24,11,0.0,0.0,277,6491,0.0,899,0.0,2
2020-03-14,Lazio,181,25,206,114,320,78,80,24,13,0.0,0.0,357,7335,0.0,844,0.0,2
2020-03-15,Lazio,223,31,254,142,396,76,79,24,16,0.0,0.0,436,8345,0.0,1010,0.0,3
2020-03-16,Lazio,267,31,298,174,472,76,87,32,19,0.0,0.0,523,9330,0.0,985,0.0,3
2020-03-17,Lazio,314,44,358,192,550,78,84,34,23,0.0,0.0,607,9436,0.0,106,0.0,4
2020-03-18,Lazio,374,44,418,232,650,100,117,42,32,0.0,0.0,724,11145,0.0,1709,0.0,9
2020-03-19,Lazio,426,45,471,270,741,91,99,44,38,0.0,0.0,823,11145,0.0,0,0.0,6
2020-03-20,Lazio,537,47,584,328,912,171,185,53,43,0.0,0.0,1008,13889,0.0,2744,0.0,5
2020-03-21,Lazio,591,70,661,425,1086,174,182,54,50,0.0,0.0,1190,13889,0.0,0,0.0,7
2020-03-22,Lazio,671,79,750,522,1272,186,193,58,53,0.0,0.0,1383,17845,0.0,3956,0.0,3
